,names,links,description
10,Ananas Sativus Fruit Extract,https://incidecoder.com//ingredients/ananas-sativus-fruit-extract,A goodie fruit extract coming from the lovely pineapple It contains a bunch of goodfortheskin stuff bromelain and fruit acids have mild exfoliant properties and fruit sugars and amino acids give the pineapple fruit nice moisturizing and soothing properties There is also a pineapple extract called pineapple ceramide on the market thats claimed to be loaded with a glucose linked ceramide derivative called glucoceramide According to the manufacturer glucoceramide is not only a skin moisturizer but it also helps to lighten the skin and make it more smooth
11,Anhydroxylitol,https://incidecoder.com//ingredients/anhydroxylitol,A sugar derived moisturizer thats part of a moisturizing trio called Aquaxyl You can read more about its magic properties at xylitylglucoside
12,Anthemis Nobilis Flower Extract,https://incidecoder.com//ingredients/anthemis-nobilis-flower-extract,There are two primary types of Chamomile the German and the Roman Both has soothing properties but the German one contains more antiinflammatory actives like chamazulene The antiinflammatory action of the Roman Chamomile is due to phenolic compounds and according to manufacturer info it also has some nice skin toning properties
13,Anthemis Nobilis Flower Oil,https://incidecoder.com//ingredients/anthemis-nobilis-flower-oil,The essential oil coming from the second most common type of chamomile the Roman Chamomile It also contains the biologically active antiinflammatory components bisabolol and chamazulene but less than the more commonly used German Chamomile Its not clear what Roman Chamomile knows that the German one does not
14,Anthocyanins,https://incidecoder.com//ingredients/anthocyanins,A watersoluble natural colorant a dye that gives redpurple shades Anthocyanins are also the dyes that give several edible fruits and berries their color such as acai blackcurrant or raspberry
15,Aphanizomenon Flos-Aquae Extract,https://incidecoder.com//ingredients/aphanizomenon-flos-aquae-extract,"The extract coming from a rare bluegreen algae thats touted to have retinoidlike effects but without the side effect If you do not know what retinoids are you are seriously missing out please click here and catch up on the topic To be more specific about the retinoidlike effects the manufacturer found that Lanablue the trade name of this algae affects gene expression a fancy way of saying how an ingredient might influence how a skin cell produces different things such as proteins and regulates epidermal differentiation how skin cells at the bottom of the top layer of our skin replicate similar to goodold retinol However that is only invitro made in testtubes data that may or may not happen on real human skin
As far as clinical data goes the manufacturer did a 21 days study with 40 volunteers and found that 3 Lanablue showed a clear reduction of the skin microrelief or to say it in another way it made the skin smoother Based on the data we have seen we think that retinoidlike effects claim for this algae is an exaggeration If you are into retinol alternatives Bakuchiol is a more promising molecule to check out"
16,Arachidyl Alcohol,https://incidecoder.com//ingredients/arachidyl-alcohol,A fatty alcohol the nondrying type with a long oil loving chain of 20 carbon atoms that is used to increase the viscosity of the formula and it also helps the oily and the watery parts to stay nicely mixed together called emulsion stabilizing
17,Arachidyl Glucoside,https://incidecoder.com//ingredients/arachidyl-glucoside,An ingredient that is created from the attachment of the waterloving sugar molecule glucose and an oilloving 20 carbon long fatty chain This makes it a partly water and partly oilsoluble material meaning it functions as an emulsifier helping oil and water to mix Most often it comes to the formula coupled with two fatty alcohol friends Arachidyl and Behenyl alcohol to make up an emulsifier trio trade named Montanov 202 As described by its manufacturer the main thing of Montanonv 202 is that it gives creams a unique evanescent and light feel with a matt finish It also leaves the skin soft but not oily is hypoallergenic and noncomedogenic making it perfect for both oily and sensitive skin formulas
18,Arbutin,https://incidecoder.com//ingredients/arbutin,"A pretty wellknown and often used ingredient with the magic ability to fade brown spots Its used traditionally in Japan and can be found naturally in a couple of plants including the leaves of pear trees wheat and bearberry Arbutin seems to work its magic and hinder the pigmentation process at the second step of it An enzyme called tyrosinase is needed to create melanin the pigment that causes the brown spots and while several other skin lightening agents work to inhibit the synthesis of tyrosinase itself like vitamin C or licorice arbutin lets tyrosinase be and rather hinders the melaninforming activity of the enzyme So it might be a good idea to combine arbutin with some direct tyrosinase inhibitors for more skin lightening effect
All in all arbutin is one of the betterknown skin brightening agents thats probably worth a try if pigmentation is an issue for you"
19,Arctium Lappa Root Extract,https://incidecoder.com//ingredients/arctium-lappa-root-extract,Burdock root is a goodie plant extract that has antiinflammatory and antioxidant properties Also it has some antifungal and seborrhea regulation magic powers that make the ingredient especially useful for greasy and flaky skin and scalp
20,Arctostaphylos Uva-Ursi Leaf Extract,https://incidecoder.com//ingredients/arctostaphylos-uva-ursi-leaf-extract,Arctostaphylos UvaUrsi is a little plant with nice red berries that lives in the North and is also called bearberry or kinnikinnick According to Wikipedia the uvaursi part means “grape of the bear” As for skincare bearberry is interesting because it contains the wellknown skin lightening agent arbutin The leaves contain 515 percent of it and might be able to help fading brown spots on the skin Also kinnikinnick such a cool name is an antioxidant and has some antibacterial activity
21,Argania Spinosa Kernel Oil,https://incidecoder.com//ingredients/argania-spinosa-kernel-oil,"When it comes to cosmetic oils and hype argan oil is for sure leading the way Dubbed as the liquid gold of Morocco we have to admit we have some trouble determining why this oil enjoys such a special miracle status Not that its not good it is good even great but reading the research about argan and a bunch of other plant oils we just do not see the big unique differentiating factor though that might be our fault not reading enough obvs
So argan oil comes from the kernel of the argan fruit that comes from the argan tree that grows only in Morocco The tree is slow growing and getting the oil is a hard job The traditional process is that the ripe argan fruits fall from the tree then goats eat them up and poop out the seeds The seeds are collected and smashed with a stone to get the kernels inside This part is the hard one as the seeds have extremely hard shells Once the kernels are obtained the oil is pressed out from them the kernels contain about 50 oil
As for skincare argan oil is loaded with lots of skin goodies but so are many other plant oils it contains 80 nourishing and moisturizing unsaturated fatty acids mainly oleic 3850 linoleic 2838 and palmitic 1018 It also contains a relatively large amount of antioxidant vitamin E 600900 mgkg about twice as much as olive small amounts of antioxidant phenols including caffeic acid ferulic acid and epicatechin as well as some rare sterols with soothing and antiinflammatory properties Thanks to all the above goodness in argan oil it can greatly nourish and moisturize the skin and hair Its also claimed to be able to neutralize collagendamaging free radicals help reduce scars and revitalize and improve skin elasticity You can even read that argan might help acneprone skin but being a high oleic oil we would be careful with that All in all argan oil is a real goodie but we do not fully understand the special miracle status it enjoys"
22,Arginine,https://incidecoder.com//ingredients/arginine,A semiessential infants cannot synthesize it but adults can amino acid that is one of the primary building blocks of hair keratin and skin collagen Its a natural moisturizing factor a skin hydrator and might also help to speed up wound healing Arginine usually has a positive charge cationic that makes it substantive to skin and hair those are more negatively charged surfaces and an excellent film former Thanks to the positive charge it also creates a complex with AHAs AHAs like to lose a hydrogen ion and be negatively charged so the positive and the negative ions attract each other that causes a timerelease AHA effect and reduces the irritation associated with AHAs
23,Aristotelia Chilensis Oil,https://incidecoder.com//ingredients/aristotelia-chilensis-oil,Maqui Berries are small dark berries similar to betterknown blackberries that grow natively in the temperate rainforests of Chile The fruit is touted as a superfruit rich in antioxidant anthocyanins and other phenolics The oil is a dark green liquid that similar to other plant oils is loaded with unsaturated fatty acids 86 such as nourishing oleic acid 33 and barrierrepairing linoleic acid 46 We could not find any other researchverified info about Maqui Oil though some websites claim that it is rich in Vitamin E and is generally a strong antioxidant oil
24,Arnica Montana Extract,https://incidecoder.com//ingredients/arnica-montana-extract,A nice yellow flower living in the mountains thats famously used to treat bruisings Its role in skincare is questionable though Read more here
25,Arnica Montana Flower Extract,https://incidecoder.com//ingredients/arnica-montana-flower-extract,A nice yellow flower living in the mountains It has been used as a herbal medicine for centuries though its effect on skin is rather questionable Its most famously used to treat bruisings but there are some studies that show that its not better than placebo source wikipedia Also some consider it to be antiinflammatory while other research shows that it can cause skin irritation
26,Aronia Melanocarpa Fruit Extract,https://incidecoder.com//ingredients/aronia-melanocarpa-fruit-extract,The extract coming from the dark colored berry called black chokeberry It looks similar to the blueberry but is even darker and the berries do not taste nice and yummy but are rather sour Its mainly used for juice jam and wine production but not as a fruity snack As for skincare and the black chokeberry we have good news the berries are loaded with stuff goodfortheskin including high amounts of antioxidant polyphenols mainly anthocyanins some astringent tannins hydrating sugar compounds as well as some minerals relatively high contents of potassium and zinc and some quantities of Na Ca Mg and Fe and nice vitamins vitamins B1 B2 B6 and C Overall Aronia Melanocarpa is a potent antioxidant berry thats nice to spot on the ingredient list
27,Ascorbic Acid,https://incidecoder.com//ingredients/ascorbic-acid,"Works best between a concentration of 520 Boosts the skin’s own collagen production Fades pigmentation and brown spots If used under sunscreen it boosts its UV protection Extremely unstable and oxidizes very easily in presence of light or air Stable in solutions with water only if pH is less than 35 or in waterless formulations Vit E C work in synergy and provide superb photoprotection Ferulic acid doubles the photoprotection effect of Vit CE and helps to stabilize Vit C Potent Vit C serums might cause a slight tingling on sensitive skin If Vit C was a person it would be someone like Beyoncé Jennifer Lopez or Mariah Carey Serious performance Alist superstar but at the same time shows some major divaish behaviour But before we dive into it let’s just take a quick look where Vit C comes from By the 18th century sailors noticed that if they eat plenty of citrus fruits that helps to prevent scurvy an ugly disease that causes bleeding gums and other bad things caused by Vit C deficiency At that time they had no clue what it was inside citrus fruits that helped Scientists managed to figure out only in the 1930s what Vitamin C is Since then it’s been a much researched lovely vitamin that has turned out to have tremendous health benefits not only for our body but also for our skin It’s the primary watersoluble antioxidant in our tissue and plays a big role in the complicated process where our skin creates some nice new skinfirming collagen So it’s really good to have plenty of Vit C in our body and in our skin but the trick is that our body cannot make it for itself fun fact some animals like mice can We have to take it entirely from outside sources Citrus fruits black currants red pepper or guava are for example awesome Vit C rich foods that you should eat regularly And here is an another trick eating Vit C does not help our skin to have high levels of it And of course when the sun shines upon us or when we face environmental pollution that is also not good for the Vit C levels in our skin But here is good news putting some lovely Vit C cream or serum on our skin actually helps So how does it help exactly Let’s see
Great antioxidant and UV protection booster
Multiple studies showed that animal skin treated with topical ascorbic acid have less skin reddening it’s called erythema fewer sunburn cells and decreased tumor formation after UV exposure
What this means is that it’ a great idea to use your Vit C serum in the morning under your sunscreen not instead of it For even better protection choose a serum that contains Vit E as well as it doubles the photoprotection properties of Vit C And wait it gets even better Ferulic acid further doubles the photoprotection of Vit C E So this trio Vit C E Ferulic acid is really effective If you are into protecting your skin from UV rays and you should be if you want lovely skin for a long time you should try a serum containing the magic trio BTW this was discovered by American researcher Sheldon Pinnell in 2005 and Skinceuticals CE Ferulic Serum was the first one on the market containing all three actives
Helps skin to make nice collagen
Collagen is complicated but the most important thing to know about it is that it’s like tent pole It helps to keep our skin firm and wrinkle free Throwing poles on a ramshackle tent does not help The poles do not go magically to the right place to make the tent nice and firm again It’s the same with collagen in a skincare product it does not really help to be fair it has some hydrating properties but not wrinkle erasing magic properties Boosting the collagen production of your skin helps And Vit C can do that In a study from 1999 a 10 Vit C serum CellexC was shown to decrease wrinkles when applied for a 3 month period A few years later another study using a 5 Vit C cream for a 6 month period showed statistically significant improvement in skin hydration wrinkles glare brown spots and skin density
Helping your skin to make extra collagen is always nice and Vit C is one of the very very few ingredients that is proved to do so in peer reviewed studies Alist superstar right
Fades brown spots
Brown spots or hyperpigmentation is just not nice and frankly it is very difficult to fade them just with skincare But Vit C can help For brown spots to form the body needs an enzyme stuffs that help chemical reactions in our body called tyrosinase Vit C works by inhibiting this enzyme so brown spots cannot form that effectively That is all nice and lovely and an Alist superstar performance But we have started our description saying that Vit C is such a diva So what about that Well here are its major diva demands
Extremely unstable oxidizes very easily
If you ever tried a pure Vit C serum and you have not used it up in a month or two then you must have noticed that it changed its color and started to become brownish Yes that was the Vit C going wrong in the product There are some tips and tricks that help to stabilize Vit C Low pH below 35pH or waterless formulation helps Also some other ingredients help like ferulic acid glutathione citric acid or sodium metabisulfite These are all shown in research studies to help with the stability issues Also protecting the formula from air and light is super important The best is a totally airless packaging when it comes to Vit C formulas But even with all these tricks employed a potent Vit C serum can be used usually only three month after opening it Diva see
Does not penetrate skin easily
It is water soluble and skin is just not attracted to water soluble things but rather to oil soluble things So this makes it a little tricky for Vit C to actually get into your skin But good news low pH again below 35pH solves the problem so look out for water based Vit C serums that state that they have the right pH or waterless formulas can work too High amount of Vit C can irritate sensitive skin
Slight tingling is quite normal but if your skin is super sensitive rosacea prone than a very potent above 10 Vit C serum might not be for you You know if there are some big advantages there will always be some disadvantages too That’s just how it is Still Vit C is so awesome that you should try it at least once and see how your skin reacts It’s always individual so you never know for sure until you try it If you are still here congrats You are now a true “Vitamin C and the skin” expert"
28,Ascorbyl Glucoside,https://incidecoder.com//ingredients/ascorbyl-glucoside,"A form of skincare superstar vitamin C If you do not know why vitamin C is such a big deal in skincare we have a really detailed geeky description thats good to read So now you know that because pure vitamin C is such a diva very unstable and hard to formulate the cosmetic industry is trying to come up with some derivatives that have the badass antiaging properties of vitamin C antioxidant protection collagen boosting fading hyperpigmentation but without the disadvantages This is a hard task and there is not yet a derivative that is really proven to be better in every aspect but Ascorbyl Glucoside is one of the best options when it comes to vitamin C derivatives Lets see why
First its really stable and easy to formulate so the problems that come with pure vitamin C are solved here
Second in vitro meaning made in the lab not on real humans studies show that ascorbyl glucoside can penetrate the skin This is kind of important for an antiaging ingredient to do the job so this is good news though invivo made on real humans studies are still needed Third invitro studies show that after ascorbyl glucoside is absorbed into the skin it is converted to pure vitamin C though the rate of conversion is still a question mark It also shows all the three antiaging benefits antioxidant protection collagen boosting fading hyperpigmentation that pure vitamin C does Bottom line ascorbyl glucoside is one of the best and most promising vitamin C derivatives that shows similar benefits to that of pure vitamin C but its less proven in vivo vs in vitro studies and the extent of the benefits are also not the same"
29,Ascorbyl Palmitate,https://incidecoder.com//ingredients/ascorbyl-palmitate,"A form of skincare superstar vitamin C Even though we are massive vitamin C fans Ascorbyl Palmitate AP is our least favorite Btw if you do not know what the big deal with vitamin C is then you are missing out You must go and read our geeky details about it So AP is one of the attempts by the cosmetics industry to solve the stability issues with vitamin C while preserving its benefits but it seems to fall short on several things
Whats the problem
Firstly its stability is only similar to that of pure ascorbic acid AA which means it is not really stable A great study in the Journal of Cosmetic Dermatology compared a bunch of vitamin C derivatives and this derivative was the only one where the study said in terms of stability that its similar to AA Not really that good
Second a study that examined the skin absorption of vitamin C found that ascorbyl palmitate did not increase the skin levels of AA This does not mean that ascorbyl palmitate cannot penetrate the skin because it can its oil soluble and the skin likes to absorb oil soluble things but this means that its questionable if ascorbyl palmitate can be converted into pure Vit C in the skin Even if it can be converted the palmitate part of the molecule is more than the half of it so the efficacy will not be good and we have never seen a serum that contains a decent and proudly disclosed amount of AP We are highly skeptical what effect a tiny amount of AP has in a formula
Third another study that wanted to examine the antioxidant properties of AP was surprised to find that even though AP does have nice antioxidant properties following UVB radiation the same one that comes from the sun it also promotes lipid peroxidation and cytotoxicity It was only an invitro study meaning that it was done on cell cultures and not on real people but still this also does not support the use of AP too much The only good thing we can write about Ascorbyl Palmitate is that there is an invitro made in the lab not on real people study showing that it might be able to boost collagen production
Regarding the skinbrightening properties of pure vitamin C this is another magic property AP does not have or at least there is no data not even invitro about it
Overall Ascorbyl Palmitate is our least favorite vitamin C derivative It is there in lots of products in tiny amounts honestly we do not really understand why however we do not know about any vitamin C serum featuring AP in high amounts That is probably no coincidence If you are into vitamin C you can take a look at more promising derivatives here"
30,Asiatic Acid,https://incidecoder.com//ingredients/asiatic-acid,One of the biologically active components of Gotu Kola Its a bit less prominent than its sister component Asiaticoside but invitro made in the lab studies show that Asiatic Acid also stimulates GAGs glycosaminoglycans polysaccharides that are part of the liquidy stuff between our skin cells production as well as collagen I synthesisEnglish translation equals that it probably contributes to the wellestablished moisturizing and wound healing abilities of Gotu Kola
31,Asiaticoside,https://incidecoder.com//ingredients/asiaticoside,One of the main biologically active components of the famous medicinal plant Centella Asiatica aka Gotu Kola It has well established wound healing and antioxidant activities Invitro made in the lab studies also show that Asiaticoside stimulates GAGs glycosaminoglycans polysaccharides that are part of the liquidy stuff between our skin cells production as well as collagen I synthesis Read more at Gotu Kola
32,Aspartic Acid,https://incidecoder.com//ingredients/aspartic-acid,A nonessential amino acid important building block of collagen and elastin that hydrates the skin It is also used to set the pH of the cosmetic product buffering
33,Astaxanthin,https://incidecoder.com//ingredients/astaxanthin,An oilloving redorange colored pigment that is becoming more and more wellknown as a potent antioxidantIf being an orangecolored pigment reminds you of betacarotene from carrots that is no coincidence astaxanthin also belongs to the chemical group called carotenoids known for giving yellow orange or red color to plants Our guy comes mostly from microalgae a wellknown and often used source is Haematococcus Pluvialis So Astaxanthins main thing is being an antioxidant You can take it as a supplement or slather it on your skin it works both ways A mouse skin study from 2012 found that a liposomal Astaxanthin formula prevented UV‐induced skin damage in multiple ways UVinduced skin thickening collagen reduction and melanin formation were all hindered or prevented when the skin was pretreated with the Astaxanthin formula Another study from 2012 examined the cosmetic benefits of Astaxanthin and found that combining oral supplementation 6mgday and topical application for 8 weeks in 30 volunteers showed improvements in skin wrinkle crow’s feet age spot size cheek elasticity crow’s feet skin texture cheek and moisture content of the skin cheek If that would not be enough a 2017 mouse study found our carotenoid molecule to be effective in speeding up wound healingOverall Astaxanthin is an up and coming antioxidant nice to spot on any ingredient list
34,Astragalus Membranaceus Root Extract,https://incidecoder.com//ingredients/astragalus-membranaceus-root-extract,Astragalus Membranaceus or Huangqi as the Chinese call it is one of their most important medicinal herbs that is traditionally used to strengthen qi the body’s life force It has a bunch of magic abilities including tonic liverprotecting immunomodulating antihyperglycemic antiinflammatory antioxidant and antiviral properties Modern research does prove that Huangqi is a valuable medicinal herb and contains plenty of bioactive compounds such as saponins flavonoids and polysaccharides As for skincare and Huangqi it is well known and used for its general tonic and skin reinforcing properties as well as for its antiinflammatory and antioxidant action On top of that we also found a manufacturer claiming that Astragalus Membranaceus Root Extract combines antiaging and antiblemish properties so it is especially useful for aging acneprone skin In their invivo made on real people studies 2 of liposomal Huangqi increased skin hydration firmness and smoothness by 20 after 14 days and decreased blemishprone skin signs by 1015 after 42 days
35,Avena Sativa Kernel Extract,https://incidecoder.com//ingredients/avena-sativa-kernel-extract,When you hear oatmeal you probably think of breakfast but the finely ground version of whole oat kernels aka colloidal oatmeal can do good things for your skin especially if its dry itchy or prone to skinrashes or eczemaOat is loaded with compounds good for the body inside or outside such as soothing agent betaglucan 5 lipids 311 including barrier repairing omega3 and 6 fatty acids or phenolic antioxidant and antiinflammatory agents avenanthramides The soothing antioxidant and skinprotecting abilities of oat are so wellestablished that it is an active natural ingredient covered by the FDA OTC Skin Protectant monograph in the US meaning that colloidal oatmeal can be claimed as an active ingredient on the INCI list and Aveeno is a massmarket brand built around oatcontaining products If your skin is dry irritated inflamed or eczemaprone colloidal oatmeal is something to try
36,Avena Sativa Kernel Flour,https://incidecoder.com//ingredients/avena-sativa-kernel-flour,A finely powdered form of Oat Extract that has the same skin soothing skin protecting and antioxidant benefits we have written about at Avena Sativa Kernel Extract It is loaded with skingoodies such as antiinflammatory agent betaglucan skin nourishing lipids and moisturizing carbohydrates A real goodie for dry irritated inflamed or eczemaprone skin
37,Azelaic Acid,https://incidecoder.com//ingredients/azelaic-acid,Superstar ingredient with antibacterial skin cell regulating antiinflammatory and skinlightening magic properties It is especially useful for acneprone or rosaceaprone skin types in concentration 10 and up It is a prescription drug in the US but can be freely purchased in the EU in an up to 10 concentration Azelaic acid is a superstar acid with some serious magic properties Before we list them out heres just a short introAzelaic acid is a socalled carboxylic acid It’s not an AHA or BHA but a distant relative to them all being carboxylic acids It can be found naturally in wheat rye and barley Magic property no1 Antibacterial effect → AntiAcneA very cool property of azelaic acid is that it has a great antibacterial effect It works against multiple bacteria including the evil acnecausing Propionibacterium acnes P acnes Very few ingredient are proven to work against P acnes so this alone makes azelaic acid an awesome choice for acneprone skin For acne treatment 20 is the standard prescription strength choice Comparing 20 azelaic acid to other acne treatments like 005 retinoic acid cream 5 benzoyl peroxide cream or 2 erythromycin ointment azelaic acid had nothing to be ashamed for as it showed similar effectiveness There is also a study that showed that 5 azelaic acid is also somewhat effective about 32 improvement and it can be made much more effective by combining it with 2 clindamycin about 64 improvementMagic property no 2 Regulate the production of skin cells → AntiAcneOne of our favourite beauty blogs xoVain cites dermatologist Dr David Lortscher who gives a great explanation “Azelaic acid also works on the cells that line hair follicles by changing the way they mature and proliferate which decreases follicular ‘plugging’ and helps prevent blackheads whiteheads and inflamed acne lesions” So basically it helps with healthy skin cell production in the pores that is often problematic in acne and blackhead prone skin which is niceMagic property no 3 Antiinflammatory effect → Antirosacea antiacneThe third magic property of azelaic acid is that it is proven to have an e antiinflammatory effect This is cool not only for treating acne but also for treating rosacea 15 is the standard prescription strength dose for rosacea treatment Magic property no 4 Skin lightening effect → AntiPIH antimelasmaLast but not least azelaic acid also shows skin lightening properties It seems to be especially effective for postinflammatory hyperpigmentation that often comes with acne and melasma Studies have compared 20 azelaic acid to 2 and 4 Hydroquinone and here again it has nothing to be ashamed of azelaic acid showed similar skin lightening properties Though interestingly azelaic acid did not seem to be effective for lightening age spots that are called solar lentiginesSo the bottom line is that azelaic acid can be a game changer or rather skin changer especially for acneprone or rosacea skin types It’s antibacterial can regulate problematic skin cell production in pores it’s antiinflammatory and even helps with PIH and melasma It really can do a lot
38,BHA,https://incidecoder.com//ingredients/bha,Its the acronym for Butylated Hydroxy Anisole Its a synthetic antioxidant thats used as a preservative Its a somewhat controversial ingredient The US National Institutes of Health says that BHA is reasonably anticipated to be a human carcinogen based on evidence of carcinogenicity in experimental animals source wikipedia But and this is a big but these experiments were made on animals and BHA was used in high doses as part of their diet There is no evidence that the same is true when used in tiny amounts in cosmetics products So you probably have nothing to worry about but if you are a better safe than sorry type there are plenty of nice products without BHA to choose from
39,BHT,https://incidecoder.com//ingredients/bht,Its the acronym for Butylated Hydroxy Toluene Its a common synthetic antioxidant thats used as a preservativeThere is some controversy around BHT Its not a new ingredient it has been used both as a food and cosmetics additive since the 1970s Plenty of studies tried to examine if its a carcinogen or not This Truth in Aging article details the situation and also writes that all these studies examine BHT when taken orallyAs for cosmetics the CIR Cosmetic Ingredient Review concluded that the amount of BHT used in cosmetic products is low usually around 00101 it does not penetrate skin far enough to be absorbed into the bloodstream and it is safe to use in cosmetics
40,Bakuchiol,https://incidecoder.com//ingredients/bakuchiol,"At first glance you could think that Bakuchiol is your average plant extract It is derived from the seeds of Psoralea Corylifolia aka Babchi a plant important in Indian and Chinese medicine The molecule was first isolated in 1973 and several antisomething properties are known about it it has antiinflammatory antioxidant antitumor antibacterial and hepatoprotective magical abilities like plenty of other Ayurvedic plant extracts
What makes Bakuchiol a special snowflake is the recent discovery that it behaves on the skin in a way very similar to wellknown skincare superstar retinol While chemically it has nothing to do with the vitaminA family aka retinoids comparative gene expression profiling a fancy way of saying that they compared how retinol and bakuchiol modify the way skin cells behave and produce important skin proteins such as collagen shows that retinol and bakuchiol regulate skin cell behavior in a similar way To be more specific both Bakuchiol and retinol upregulate collagen I III and IV production and downregulate MMP the evil collagen attacking enzyme in our skin This means more collagen stays in our skin and we all know that more collagen equals firmer more wrinklefree skin A 12week clinical study using a 05 Bakuchiol formula with 17 people using it twice a day confirmed a significant improvement in lines and wrinkles elasticity firmness and an overall reduction in photodamage Also the test formula was very well tolerated without any retinollike side effects Whats more a 2018 doubleblind study with 44 people compared 05 Bakuchiol with 05 retinol cream and found that bakuchiol is comparable to retinol in its ability to improve photoaging and is better tolerated than retinol A super promising result after 12 weeks If you are not a daredeviltype who doesnt want to stop using a super wellproven retinol for a newbie like Bakuchiol we have good news The two also work very nicely together and Bakuchiol can actually help to stabilize the otherwise unstable and hard to formulate retinol
And we are still not done as Bakuchiol shows not only antiaging properties but also nice antiacne effects 1 Bakuchiol seems to be very effective in itself 57 reduction in acne after 6 weeks treatment and even better when combined with 2 salicylic acid 67 reduction in acne after 6 weeks We like that Bakuchiol is such a good team player The molecule works against acne in multiple ways It downregulates 5αreductase a sebumcontrolling enzyme it is antibacterial including P acnes antiinflammatory and it inhibits lipidperoxidation an evil oxidative process that is recently thought to be a very early trigger in the acne process We feel that this description is becoming very long so we will just mention that Bakuchiol also seems to positively regulate hydrationrelated genes such as Aquaporin 3 and also shows some melanininhibiting properties Overall we think Bakuchiol is an awesome molecule with lots of promise both for antiaging and antiacne But the proof compared to the wellestablished superstars is far from solid so in a skincare routine we would rather add Bakuchiol next to retinol than straight up replace it Unless you are a gimmethenewestshinythingunderthesuntype"
