,name,ingredient_list
335,aqua fantasy whitening toner,"['water', 'hot springs water', 'alcohol denat', 'butylene glycol', 'niacinamide', 'betaine', 'portulaca oleracea extract', 'glycereth-26', 'peg/ppg-17/6 copolymer', 'glycerin', 'beta glucan', 'saussurea involucrata extract', 'peg-60hydrogenated castor oil', 'allantoin', 'isopropyl alcohol', 'guanine', 'polysorbate 80', 'disodium edta', 'phenoxyethanol', 'caprylhydroxamic acid', 'caprylyl glycol', 'fragrance']"
336,aqua petit jelly cc foundation spf25 pa++,"['water', 'cyclopentasiloxane', 'mentha piperita (peppermint) leaf water', 'butylene glycol', 'ethylhexyl methoxycinnamate', 'titanium dioxide', 'ethylhexyl salicylate', 'dimethicone', 'portulaca oleracea extract', 'niacinamide', 'zinc oxide', 'diphenylsiloxy', 'phenyl trimethicone', 'hydrolyzed collagen', 'dimethicone/peg-10/15 crosspolymer', 'dipropylene glycol', 'lauryl peg-8 dimethicone', 'sodium chloride', 'methyl methacrylate citrate', 'methylparaben', 'polyhydroxystearic acid', 'fragrance', 'dimethicone/methicone copolymer', 'propylparaben', 'litchi chinensis pericarp extract', 'pentylene glycol', 'adenosine', 'lecithin', 'ethylhxyl palmitate', 'isostearic acid', 'isopropyl myristate', '1 2-hexanediol', 'capryloyl glycine', 'glutamic acid', 'lysine', 'betaine', 'serine', 'sorbitol', 'alanine', 'arginine', 'threonine', 'proline', 'triethoxysilylethyl polydimenthylsiloxyethyl', 'hexyl dimethicone', 'diethyl oxalate', 'menthol', 'c12-15 alkyl benzoate', 'tribehenin', 'ceramide 2', 'sodium hyaluronate', 'peg-10 rapeseed sterol', 'palmitoyl oligopeptide', 'ethylparaben', '(+/-) iron oxides(ci77492)', 'iron oxides(ci77491)', 'iron oxides(ci77499)']"
337,aqua splash serum,"['water', 'ethanol', 'cyclopentasiloxane', 'glycerin', 'butylene glycol', 'butylene glycol dicaprylate/dicaprate', 'glacier water', 'hydrogenated castor oil isostearate', 'shea butter', 'dimethicone/vinyl dimethicone crosspolymer', 'methylparaben', 'glyceryl stearate', 'peg-100 stearate', 'fragrance', 'peucedanum ostruthium leaf extract', 'acrylate/c10-30 alkyl acrylate crosspolymer', 'triethanolamine', 'ammonium acryloyldimethyltaurate/vp copolymer', 'propylparaben', 'tris(tetramethylhydroxypiperidinol) citrate', 'sodium benzotriazolyl butylphenol sulfonate', 'disodium edta', 'phenoxyethanol', 'buteth-3', 'tributyl citrate', 'blue 1', 'red 504']"
338,aqua splash toner,"['water', 'alcohol', 'glycereth-26', 'glycerin', 'betaine', 'peg-60hydrogenated castor oil', 'portulaca oleracea extract', 'glacier water', 'fragrance', 'methylparaben', 'peucedanum ostruthium leaf extract', 'carbomer', 'triethanolamine', 'disodium edta']"
339,baby silky foot one shot peeling,"['water', 'ethanol', 'lactic acid', 'sodium lactate', 'glycolic acid', 'glycerin', 'arginine', 'phenoxyethanol', 'peg-60 hydrogenated castor oil', 'salicylic acid', 'fragrance', 'disodium edta', 'vitis vinifera (grape) fruit extract', 'aurantium dulcis (orange) fruit extract', 'pyrus malus (apple) fruit extract', 'citrus medica limonum (lemon) fruit extract', 'citrus aurantifolia (lime) fruit extract', 'urea', 'chamaecyparis obtusa leaf extract', 'camellia sinensis leaf extract', 'rosemarinus officinalis (rosemary) leaf extract', 'lavandula angustifolia (lavender) extract', 'thymus vulgaris (thyme) flower/leaf extract', 'pelargonium graveolens extract', 'mellissa officinalis (balm mint) leaf extract', 'origanum vulgare (oregano) leaf extract', 'eucalyptus globulus leaf extract', 'melaleuca alternifolia (tea tree) leaf extract', 'butyrospermum parkii (shea butter).']"
340,black caviar anti-wrikle royal essence,"['water', 'caviar extract (30%)', 'glycerin', 'glycereth-26', 'ethanol', 'betaine', 'methyl gluceth-20', 'beta glucan', 'trehalose', 'bis-peg-18 methyl ether dimethyl silane', 'peg/ppg-17/6 copolymer', 'biosaccharide gum-1', 'butylene glycol', 'hippophae rhamnoides extract', 'dipropylene glycol', 'diamond extract', 'arginine', 'peg-60hydrogenated castor oil', 'phenoxyethanol', 'acrylates/c10-30 alkyl acrylate crosspolymer', 'lecithin', 'carbomer', 'methylparaben', 'allantoin', 'caramel', 'fragrance', 'royal jelly', 'adenosine', 'sodium hyaluronate', 'disodium edta', 'argania spinosa kernel oil']"
341,black caviar anti-wrinkle cream,"['caviar extract (30%)', 'glycerin', 'water', 'cyclopentasiloxane', 'peg/ppg-18/18 dimethicone', 'butylene glycol', 'cyclomethicone', 'glycereth-26', 'dimethicone/vinyl dimethicone crosspolymer', 'butyrospermum parkii', 'sodium citrate', 'sodium chloride', 'phenoxyethanol', 'peg/ppg-19/19 dimethicone', 'diamond extract', 'methyl paraben', 'hippophae rhamnoides extract', 'zea mays (corn) starch', 'titanium oxide', 'tin oxide', 'sucrose', 'microcrystalline cellulose', 'mica', 'lactose', 'iron oxide', 'fragrance', 'bis-peg/ppg-14/14 dimethicone', 'ci77268:1(carbo vegetabilis)', 'acetic acid', 'adenosine', 'propyl paraben', 'royal jelly', 'propylene glycol', 'pearl extract', 'lecithin', 'disodium edta', 'diopropylene glycol', 'titanium dioxide', 'synthetic fluorphlogopite', 'gold']"
342,daily garden olive fermented cleansing cream,"['water', 'mineral oil', 'glycerin', 'caprylic/capric triglyceride', 'polysorbate 60', 'glyceryl sterate', 'olea europaea (olive) fruit oil', 'stearic acid', 'sorbitan sesquioleate', 'dimethicone', 'carbomer', 'allantoin', 'triethanolamine', 'disodium edta', 'lactobacillus/olive leaf ferment extract', 'saccharomyces/peppermint leaf ferment filtrate', 'lactobacillus/clover flower ferment extract', '1 2-hexanediol', 'pentylene glycol', 'caprylyl glycol', 'caprylhydroxamic acid', 'phenoxyethanol', 'fragrance', 'ci 19140', 'ci 15985']"
343,black caviar anti-wrinkle emulsion,"['water', 'caviar extract (10%)', 'hydrogenated polyisobutene', 'glycerin', 'buthylene glycol', 'cetyl ethylhexanoate', 'cyclopentasiloxane', 'betain', 'canola oil', 'pentaerythrityl tetraethylhexanoate', 'c14-22 alcohols', 'phytosteryl/isostearyl/cetyl/stearyl/behenyl dimer dilinoleate', 'cetearyl alcohol', 'stearic acid', 'c12-20 alkyl glucoside', 'dimethicone', 'jojoba esters', 'beeswax', 'dimethicone/vinyl dimethicone crosspolymer', 'inulin lauryl carbamate', 'phenoxyethanol', 'batyl alcohol', 'cyclomethicone', 'glycol stearate se', 'methyl paraben', 'caprylic/capric triglyceride', 'carbomer', 'hydrogenated lecithin', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer', 'lecithin', 'propyl paraben', 'tocopheryl acetate', 'triethanolamine', 'ci 15985', 'fragrance', 'polysorbate 60', 'squalane', 'adenosine', 'hippophae rhamnoides extract', 'xanthan gum', 'ci 19140', 'disodium edta', 'sodium hyaluronate', 'argania spinosa kernel oil', 'diopropylene glycol', 'pearl extract', 'propylene glycol', 'royal jelly']"
344,black caviar anti-wrinkle eye cream,"['water', 'caviar extract (20%)', 'hydrogenated polyisobutene', 'glycerin', 'buthylene glycol', 'cetyl ethylhexanoate', 'cyclopentasiloxane', 'betain', 'canola oil', 'pentaerythrityl tetraethylhexanoate', 'c14-22 alcohols', 'phytosteryl/isostearyl/cetyl/stearyl/behenyl dimer dilinoleate', 'cetearyl alcohol', 'stearic acid', 'c12-20 alkyl glucoside', 'dimethicone', 'jojoba esters', 'beeswax', 'dimethicone/vinyl dimethicone crosspolymer', 'inulin lauryl carbamate', 'phenoxyethanol', 'batyl alcohol', 'cyclomethicone', 'glycol stearate se', 'methyl paraben', 'caprylic/capric triglyceride', 'carbomer', 'hydrogenated lecithin', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer', 'lecithin', 'propyl paraben', 'tocopheryl acetate', 'triethanolamine', 'ci 15985', 'fragrance', 'polysorbate 60', 'squalane', 'adenosine', 'hippophae rhamnoides extract', 'xanthan gum', 'ci 19140', 'disodium edta', 'sodium hyaluronate', 'argania spinosa kernel oil', 'diopropylene glycol', 'pearl extract', 'propylene glycol', 'royal jelly']"
345,black caviar anti-wrinkle skin,"['water', 'caviar extract (5%)', 'dipropylene glycol', 'betaine', 'glycereth-26', 'glycerin', 'portulaca oleracea extract', 'beta glucan', 'diethoxyethyl succinate', 'butylene glycol', 'peg-60hydrogenated castor oil', 'phenoxyethanol', 'methylparaben', 'carbomer', 'sea water', 'propylene glycol', 'triethanolamine', 'fragrance', 'adenosine', 'caramel', 'disodium edta', 'sodium hyaluronate', 'cetyl hydroxyethylcellulose', 'lecithin', 'hippophae rhamnoides extract', 'royal jelly', 'pearl extract']"
346,bulgarian rose 12hr moisturizing cream,"['water', 'butylene glycol', 'glycerin', 'dimethicone', 'hydrogenated polydecene', 'cyclopentasiloxane', 'rosa damascena flower water', 'behenyl alcohol', 'ethylhexyl palmitate', 'polysorbate 60', 'mica (ci 77019)', 'glyceryl stearate se', 'caprylic/capric triglyceride', 'pentaerythrityl tetraethylhexanoate', 'titanium dioxide (ci 77891)', 'beeswax', 'mangifera indica (mango) seed butter', 'sorbitan stearate', 'butyrospermum parkii (shea butter)', 'sodium acrylate/sodium acryloyldimethyl taurate copolymer', 'polysorbate 80', 'phenoxyethanol', 'glyceryl stearate', 'peg-100 stearate', 'fragrance(parfum)', 'isohexadecane', 'methylparaben', 'caffeine', 'propylparaben', 'xanthan gum', 'dipotassium glycyrrhizate', 'polysilicone-11', 'disodium edta', 'tocopheryl acetate', 'limnanthes alba (meadowfoam) seed oil', 'tin oxide (ci 77861)', 'rosa damascena flower oil', 'pearl powder', 'red 4 (ci 14700)', 'litchi chinensis seed extract']"
347,bulgarian rose eye cream,"['water', 'rosa damascena flower water', 'glycerin', 'jojoba esters', 'beta-glucan', 'hydrogenated polydecene', 'peg-75', 'cetearyl alcohol', 'c10-40 isoalkyl acid cholesterol esters', 'butylene glycol', 'biosaccharide gum-1', 'trehalose', 'hydrogenated lecithin', 'cetearyl olivate', 'sorbitan olivate', 'helianthus annuus (sunflower) seed oil', 'cyclopentasiloxane', 'cyclohexasiloxane', 'macadamia ternifolia seed oil', 'stearic acid', 'phytosteryl/isostearyl/cetyl/stearyl/behenyl dimer dilinoleate', 'hydrogenated c6-14 olefin polymers', 'dimethicone', 'acrylates/c10-30 alkyl acrylate crosspolymer', 'methylparaben', 'phenoxyethanol', 'triethanolamine', 'butyrospermum parkii (shea butter)', 'limnanthes alba (meadowfoam) seed oil', 'propylparaben', 'fragrance', 'tocopheryl acetate', 'mica/titanium dioxide', 'disodium edta', 'red 504 (ci 14700)', ""coix lacryma-jobi ma-yuen (job's tears) seed oil"", 'oryza sativa (rice) germ oil', 'vitis vinifera (grape) seed oil', 'sesamum indicum (sesame) seed oil', 'carthamus tinctorius (safflower) seed oil', 'rosa damascena flower oil']"
348,bulgarian rose mist,"['rosa damascena flower water', 'buthylene glycol', 'phenoxyethanol']"
349,bulgarian rose serum,"['water', 'rosa damascena flower water', 'cyclopentasiloxane', 'glycerin', 'butylene glycol', 'hydrogenated polydecene', 'dimethicone', 'methyl glucose sesquistearate', 'peg-100 stearate', 'glyceryl stearate', 'peg-60 hydrogenated castor oil', 'cyclomethicone', 'cetearyl alcohol', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer', 'phenoxyethanol', 'methylparaben', 'squalane', 'polysorbate 60', 'carbomer', 'triethanolamine', 'propylparaben', 'peg/ppg-19/19 dimethicone', 'limnanthes alba (meadowfoam) seed oil', 'polyethylene', 'peg/ppg 20-15 dimethicone', 'phenyl methicone', 'fragrance', 'honey', 'disodium edta', 'sodium hyaluronate', 'tocopheryl acetate', 'ci 14700', 'oryza sativa (rice) germ oil', 'vitis vinifera (grape) seed oil', 'sesamum indicum (sesame) seed oil', 'carthamus tinctorius (safflower) seed oil', ""coix lacryma-jobi ma-yuen (job's tears) seed oil"", 'rosa damascena flower oil']"
350,cucumber essence mask sheet,"['water', 'glycerin', 'peg/ppg-17/6 copolymer', 'camellia sinensis leaf extract', 'glycyrrhiza glabra (licorice) root extract', 'aloe barbadensis leaf juice', 'cucumis sativus (cucumber) fruit extract', 'erythritol', 'peg-14m', 'hydroxyethylcellulose', 'xanthan gum', 'peg-60 hydrogenated castor oil', 'dipotassium glycyrrhizate', 'allantoin', 'disodium edta', 'methylparaben', 'phenoxyethanol', 'fragrance']"
351,daily garden cleansing cream green tea,"['water', 'ethylhexyl palmitate', 'mineral oil', 'propylene glycol', 'cyclopentasiloxane', 'peg-40 stearate', 'cetearyl alcohol', 'glyceryl stearate', 'sorbitan stearate', 'dimethicone', 'methylparaben', 'carbomer', 'triethanolamine', 'phenoxyethanol', 'fragrance', 'propylparaben', 'buthylene glycol', 'camellia sinensis leaf extract', 'disodium edta', 'tocopheryl acetate']"
352,daily garden cleansing cream olive,"['mineral oil', 'water', 'propylene glycol', 'isononyl isononanoate', 'cyclopentasiloxane', 'polysorbate 60', 'peg-100 stearate', 'glyceryl stearate', 'cetearyl alcohol', 'beeswax', 'peg-60 hydrogenated castor oil', 'behenyl alcohol', 'dimethicone', 'sorbitan stearate', 'fragrance', 'methylparaben', 'sorbitan sesquioleate', 'phenoxyethanol', 'carbomer', 'propylparaben', 'olive oil', 'triethanolamine', 'disodium edta', 'ci 15985', 'tocopheryl acetate', 'ci 19140']"
353,daily garden green tea fermented cleansing cream,"['water', 'mineral oil', 'glycerin', 'caprylic/capric triglyceride', 'polysorbate 60', 'glyceryl sterate', 'stearic acid', 'sorbitan sesquioleate', 'dimethicone', 'carbomer', 'allantoin', 'triethanolamine', 'disodium edta', 'saccharomyces/camellia sinensis ferment filtrate', 'caprylyl glycol', 'caprylhydroxamic acid', 'phenoxyethanol', 'fragrance']"
354,daily garden lip & eye remover acerola,"['water', 'dipropylene glycol', 'decyl glucoside', 'alcohol denat', 'polysorbate 20', 'detaine', 'portulaca oleracea extract', 'sodium choride', 'coceth-7', 'ppg-1-peg-9/lauryl glycol ether', 'peg-40 hydrogenated castor oil', 'allantoin', 'hibiscus sabdariffa flower extrat', 'honey extract', 'malpighia emarginata (acerola) fruit extract', 'cirrus limon lemon) fruit extract', 'disodium edta', 'phenoxyethanol', 'methylparaben', 'fragrance']"
355,don't worry bee care moisturizer,"['water', 'propolis extract', 'butylene glycol', 'hydrogenated poly(c6-14 olefin)', 'glycerin', 'cetearyl alcohol', 'octyldodecyl myristate', 'penyene glycol', 'polysorbate 60', 'ulmus davidiana root extract', 'amaranthus caudatus seed extract', 'portulaca oleracea extract', 'pueraria thundergiana root extract', 'glycrrhiza glabra (licorice) root extrct', 'paeonia lactiflora root extract', 'cinidium officinale root extrct', 'calendula officinalis flower extract', 'camellia sinensis leaf extract', 'taraxacum officinale (dandelion) leaf extract', 'soluble collagen', 'aloe barbadensis leaf juice', 'sodium hyaluronate', 'hydrogenated lecithin', '1 2-hexanediol', 'sorbitan stearate', 'stearic acid', 'dimethicone', 'glyceryl stearate', 'peg-100 stearate', 'triethanolamine', 'hydrogenated coconut oil', 'carbomer', 'ethylhexylglycerin', 'tocopherylacetate', 'hydrogenated palm kernel oil', 'cellulose gum', 'hydrogenated palm oil', 'disodium edta', 'xantahn gum', 'fragrance', 'phenoxyethanol']"
356,don't worry bee care pink powder,"['sd alcohol 40-b', 'calamine', 'glycerin', 'propolis extract', 'zince oxide', 'titanium dioxide', 'dimethyl sulfne', 'niacinamide', 'acelaic acid', 'phellodendron amurense bark extract', 'calendula officinilis flower extract', 'arctium lappa root extract', 'linum usitatissimum (linseed) seed extract', 'aloe barbadensis leaf extract', 'hibiscus esculentus fruit extract', 'peg-40 hydrogenated castor oil', 'salicylic acid', '1 2-hexanediol', 'colloidal sulfur fragrance']"
357,don't worry bee care spot serum,"['water', 'propolis extract', 'alcohol', 'glycerin', 'cyclopentasiloxane', 'ammonium acryloydimethyltaurate/vp copolymer', 'hydrogenated poly(c6-14 olefin)', 'ulmus davidiana root extract', 'amaranthus caudatus seed extract', 'portulaca oleracea extract', 'pueraria thunbergiana root extract', 'glycyrrhiza glavra (licorice) root extract', 'paeonia lactiflora root extract', 'cnidium officinale root extrat', 'calendula officinalis flower extract', 'camellia sinensis leaf extract', 'taraxacum officinale (dandelion) leaf extract', 'soluble collagen', 'aloe barbedensis leaf juice', 'sodium hyaluronate', 'hydrogenated lecithin', '1 2-hexanediol', 'dimethicone/vinyl dimethicone crosspolymer', 'beta-glucan', 'pentylene glycol', 'c12-14 pareth-12', 'panthenol', 'benzophenone-4', 'ethyhexyglycerin', 'disodum edta', 'theobroma cacao (cocoa) seed extract', 'xanthan gum', 'fragrance', 'phenoxyethanol']"
358,honey sleeping pack blueberry,"['water', 'honey extract', 'vaccinium angustifolium (blueberry) fruit extract', 'glycerin', 'dimethicone', 'glycereth-26', 'arginine', 'hydrogenated castor oil isostearate', 'carbomer', 'acrylates/c10-30 alkyl acrylate crosspolymer', 'phenoxyethanol', 'ethanol', 'methylparaben', 'peg-90m', 'caramel', 'peg-2m', 'hydrogenated lecithin', 'sucrose distearate', 'dipotassium glycyrrhizate', 'fragrance', 'ci 15985', 'disodium edta', 'portulaca oleracea extract', 'ci 17200']"
359,juicy aloe mask sheet,"['water', 'glycerin', 'alcohol', 'sodium hyaluronate', 'peg-60 hydrogenated castor oil', 'carbomer', 'triethanolamine', 'aloe barbadensis leaf juice', 'cucumis sativus (cucumber) fruit extract', 'brassica oleracea capitata (cabbage) leaf extract', 'bambusa vulgaris extract', 'allantoin', 'disodium edta', 'phenoxyethanol', 'fragrance']"
360,juicy blueberry mask sheet,"['water', 'glycerin', 'alcohol', 'sodium hyaluronate', 'peg-60 hydrogenated castor oil', 'carbomer', 'triethanolamine', 'vaccinium angustifolium (blueberry) fruit extract', 'malpighai emarginata (acerola) fruit extract', 'euterpe oleracea fruit extract', 'vitis vinifera (grape) fruit extract', 'allantoin', 'disodium edta', 'phenoxyethanol', 'fragrance']"
361,juicy honey mask sheet,"['water', 'glycerin', 'alcohol', 'sodium hyaluronate', 'peg-60 hydrogenated castor oil', 'carbomer', 'triethanolamine', 'honey extract', 'milk protein extract', 'cocos nucifera (coconut) fruit extract', 'citrus limon (lemon) fruit extract', 'allantoin', 'disodium edta', 'phenoxyethanol', 'fragrance']"
362,juicy mango mask sheet,"['water', 'glycerin', 'alcohol', 'sodium hyaluronate', 'peg-60 hydrogenated castor oil', 'carbomer', 'triethanolamine', 'mangifera indica (mango) fruit extract', 'pyrus malus (apple) fruit extract', 'citrullus lanatus (watermelon) fruit extract', 'prunus persica (peach) fruit extract', 'allantoin', 'disodium edta', 'phenoxyethanol', 'fragrance']"
363,juicy pomegranate mask sheet,"['water', 'glycerin', 'alcohol', 'sodium hyaluronate', 'peg-60 hydrogenated castor oil', 'carbomer', 'triethanolamine', 'punica granatum fruit extract', 'citrus paradisi (grapefruit) fruit extract', 'citrus aurantium dulcis (orange) peel extract prunus armeniaca (apricot) fruit extract', 'allantoin', 'disodium edta', 'phenoxyethanol', 'fragrance']"
364,juicy tea tree mask sheet,"['water', 'glycerin', 'alcohol', 'sodium hyaluronate', 'peg-60 hydrogenated castor oil', 'carbomer', 'triethanolamine', 'melaleuca alternifolia (tea tree) extract', 'camellia sinensis leaf extract', 'chamomilla recutita (matricaria) flower extract', 'allantoin', 'disodium edta', 'phenoxyethanol', 'fragrance']"
365,juicy tomato mask sheet,"['water', 'glycerin', 'alcohol', 'sodium hyaluronate', 'peg-60 hydrogenated castor oil', 'carbomer', 'triethanolamine', 'solanum lycopersicum (tomato) fruit extract', 'actinidia (strawberry) fruit extract', 'allantoin', 'disodium edta', 'phenoxyethanol', 'fragrance']"
366,medi-medi pack acetyl pack,"['water', 'alcohol', 'kaolin', 'calamine', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer', 'squalane', 'polysorbate 60', 'propylene glycol', 'mica', 'peg-60 hydrogenated castor oil', 'sodium salicylate', 'xanthan gum', 'totarol', 'disodium edta', 'phenoxyethanol', 'methylparaben', 'fragrance']"
367,medi-medi pack magnesium pack,"['water', 'illite', 'silica', 'titanium dioxide', 'butylene glycol', 'glycerin', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer', 'squalane', 'polysorbate 60', 'trehalose', 'caprylic/capric triglyceride', 'cetearyl alcohol', 'kaolin', 'glyceryl stearate', 'peg-100 stearate', 'alumina', 'iron oxide', 'calcium oxide', 'magnesium oxide', 'volcanic ash extract', 'tocopheryl acetate', 'stearyl glycyrrhetinate', 'disodium edta', 'multiflora fruit extract', 'fragrance', 'methylparaben', 'propylparaben']"
368,medi-medi pack vita c pack,"['water', 'caprylic/capric glycerides', 'butylene glycol', 'glycerin', 'betaine', 'sodium polyacrylate starch', 'hydrogenated lecithin', 'ascorbyl tetraisopalmitate', 'phenoxyethanol', 'methylparaben', 'fragrance', 'propylparaben', 'menthoxypropanediol', 'ci 19140', 'disodium edta', 'prunus serrulata flower extract', 'magnolia liliflora flower extract', 'rosa damascena extract', 'nelumbo nucifera flower extract']"
369,one solution anti-wrinkle ampoule,"['gentiaba scabra root extract', 'gylcerin', 'methyl gluceth-20', 'butylene glycol', 'trehalose', 'betyl ethylhexanoate', 'glycereth-26', 'gyglopentasiloxane', 'peg/ppg-17/6', 'copolymer', 'dimethicone', 'beta-clucan', 'cipropyene', 'glycol', 'portulaca oleracea extract', 'bis-peg-18 methyl ether dimethyl', 'silane', 'diethoxyethyl succinate', 'euterpe oleracea fruit extract', 'ximenia americana seed oil', 'carbomer', 'polysorbate 20', 'palmitoyl pentapetide-4', 'dimethicone/vinyl dimethicone crosspolyer', 'peg-20 sorbitan cocoate', 'arginine', 'xanthan gum', 'crosspolymer', 'hydroxyethylcellulose', 'acrylates/c10-30 alkyl acrylate crosspolyer', 'lauryl dimethicone/polyglycerin-3 crosspolymer', 'sodium hyaluronate', 'sodium polyacrylate', 'adenosine', 'theobroma cacao (cocoa) seed extract', 'water', 'creatine', 'polymethylsilsequioxane', 'chlorphenesin', 'sodium bicarbonate', 'caprylhydroxamic acid', 'caprylyl glycol', 'phenoxyethanol', 'disodium edta', 'fragrance']"
370,one solution clear ampoule,"['gaultheria procumbens (wintergreen) leaf extract', 'alcohol denat', 'butylene glycol', 'glycerin', 'epilobium angustifolium flower/leaf/stem extract', 'dipropylene glycol', 'portulaca oleracea extract', 'glycosyl trehalose', 'hdrogenated starch hydrolysate', 'camellia sinensis leaf extract', 'allantoin', 'glycine soja (soybean) sprout extract', 'magnolia kobus bark extract', 'water', 'sodium hyaluronate', 'carbomer', 'peg-60 hydrogenated castor oil', 'triethanolamine', 'caprylhydroxamic acid', 'caprylyl glycol', 'disodium edta', 'phenoxyethanol', 'fragrance']"
371,one solution whitening ampoule,"['rosa alba flower extract', 'butylene glycol', 'glycerin', 'niacinamide', 'peg-60 hydrogenated castor oil', 'phenyl trimethicone', 'biosaccharide gum-1', 'lactoobacillus/biosaccharide gum-1', 'lactobacillus/soybean ferment extract', 'saccharoymyces/viscum album (mistletoe) ferment extract', 'saccharomyces/imperata cylindrica root ferment extract', 'dimethicone', 'lecithin', 'butyrospermum parkii (shea) butter extract', 'urea', 'tocopheryl acetate', 'sodium methyl stearoyl taurate', 'glyceryl caprylate', 'ethylhexylglycerin', 'water', 'ammonium acrylooydimethyltaura/vp copolymer', 'prunus serrulata flower extract', 'magnolia liliflora flower extract', 'rosa damascena flower extrct', 'nelumbium speciosum flower extract', 'nylon-12', 'ximenia americana seed oil', 'allantoin', 'titanium dioxide', 'ppolyphosphorylcholine glycol acrylate', 'xanthan gum', 'disodium edta', 'caprylyl glycol', 'caprtlhdroxamic acid', 'phenoxyethanol', 'fragrance']"
372,perfect off mascara remover,"['water', 'cyclopentasiloxane', 'cetyl ethylhexanoate', 'isododecane', 'dipropylene glycol', 'alcohol', 'sodium chloride', 'phenoxyethanol', 'methylparaben', 'caprylyl/capryl wheat bran/straw glycosides', 'dipotassium glycyrrhizate', 'allantoin', 'disodium edta', 'lavandula stoechas extract', 'hydrolyzed linseed extract', 'benzophenone-9', 'ci 42090', 'ci 17200', 'fragrance']"
373,pig collagen jelly pack,"['hydrolyzed collagen extract (87.5%)', 'cyclopentasiloxane', 'cyclohexasiloxane', 'butylene glycol', 'glycerin', 'bis-peg-18 methyl ether dimethyl silane', 'poltsorbate 20', 'water', 'peg240/hdi copolymer bis-decylteradeceth-20 ether', 'caprylyl glycol', 'ethlhexylglycerin', 'tropolone', 'zea mays (corn) starch', 'microcrystalline cellulose', 'sucrose', 'mannitol', 'mica', 'titanium dioxide', 'tocopheryl acetate', 'ci7749', 'tin oxide', 'acrylates/c10-30 alkyl acrylate crosspolymer', 'potassium hydroxide', 'adenosine', 'trehalose', 'beta-glucan', 'sodium hyaluronate', 'placenta protein', 'phenoxyethanol', 'ethlhexylglycerin', 'dipropylene glycol', 'portulaca olercea extract', 'rubus idaeus (raspberry) fruit extract', 'opuntia ficus-indica stem extract', 'avena sativa (oatmeal) extract', 'aloe barbadensis leaf extract', 'rosmarinus offinalis (rosemary) extract', 'lavandula angustifolia (lavender) extract', 'thymus vugaris (thyme) extract', 'bergenia ciliata root extract', 'viola mandshurica flower extract', 'impatiens balsamina flower extract', 'honey extract', 'euterpe oleracea fruit extract', 'biosaccharide gum-1', 'arnica montana flower extract', 'gentiana lutea root extract', 'achillea millefolium extract', 'artemisia absinthium extract', 'gold', 'disodium edta', 'ci17200', 'fragrance']"
374,pig nose clear blackhead 3-step kit (1st step),"['water', 'hamamelis virginiana (witch hazel) water', 'butylene glycol', 'sodium lauroyl sarcosinate', 'salvia officinalis (sage) leaf extract', 'viscum album (mistletoe) extract', 'juniperus communis fruit extract', 'arctium majus root extract', 'mentha piperita (peppermint) leaf extract', 'caprylyl glycol', 'saponaria officinalis root extract', 'hypericum perforatum extract', '1 2-hexanediol', 'propanediol', 'illicium verum (anise) fruit extract', 'citrusmedicalimonum(lemon)fruitextract', 'chrysanthemum indicum flower extract', 'camellia sinensis leaf extract', 'melissa officinalis leaf extract', 'rosmarinusofficinalis (rosemary)leaf extract', 'aspalathus linearis leaf extract', 'thymusvulgaris(thyme)flower/leaf extract', 'jasminum officinale (jasmine) extract', 'vaccinium myrtillus fruit/leaf extract', 'saccharum officinarum (sugar cane) extract', 'acer saccharum (sugar maple) extract', 'citrusaurantiumdulcis(orange)fruitextract', 'aloe barbadensis leaf juice', 'fragrance(parfum)']"
375,pig nose clear blackhead 3-step kit (2nd step),"['water', 'pvp', 'dimethicone copolyol', 'kaolin', 'titanium dioxide', 'vp/va copolymer', 'propylene glycol', 'methylparaben', 'citrus limon (lemon) fruit extract', 'ci 17200']"
376,pig nose clear blackhead 3-step kit (3rd step),"['water', 'glycerin', 'propanediol', 'sodium hyaluronate', 'hydroxyethylcellulose', 'peg-60 hydrogenated castor oil', 'erythritol', 'trehalose', 'caprylyl glycol', '1 2-hexanediol', 'disodium edta', 'dipotassium glycyrrhizate', 'illicium verum (anise) fruit extract', 'citrusmedicalimonum (lemon) fruitextract', 'diospyros kaki leaf extract', 'citrus aurantifolia (lime) fruit extract', 'aloe barbadensis leaf juice', 'vitis vinifera (grape) fruit extract', 'chlorphenesin', 'phenoxyethanol', 'fragrance(parfum)']"
